0,1,2,level,y
1.1,2.0,2.5,0,0.27909597702848754
0.6,1.8,1.5,0,0.40058827147713794
1.9,0.3,0.9,0,0.4162599204525018
2.5,0.3,1.8,0,0.1535670930918603
0.6,2.2,1.6,0,0.08744590118854056
3.0,1.5,2.2,1,1.832550170595675
0.3,0.9,2.0,1,0.14502041700955307
2.1,1.1,0.3,1,7.247934229982921
2.5,2.3,0.3,1,17.725228764511684
0.6,0.2,1.1,1,0.10476995651022554
2.3,1.9,1.3,1,3.2193591056517
0.8,1.6,0.8,1,1.4414496368400356
1.7,0.8,0.8,1,1.5199708423250935
1.0,1.2,1.0,1,1.1827881295415053
0.5,2.2,0.6,1,1.6376721050816392
0.8,2.9,1.8,1,1.1076530068764912
1.8,0.3,2.2,1,0.3127040023548062
0.4,2.6,2.4,1,0.36299145482923734
0.9,2.9,0.6,1,4.062736247448013
0.6,0.1,1.8,1,0.03371592796122114
0.5,2.3,2.9,1,0.30079422537568123
1.8,1.3,2.0,1,1.1733979642212267
1.8,1.4,2.1,1,1.1008243015193884
1.8,2.0,0.6,1,5.626163283761798
2.6,2.0,2.8,1,1.6690806194257242
2.4,1.0,1.2,1,1.8878009197204801
3.0,0.5,2.8,1,0.5283100313116519
2.9,2.3,0.1,1,61.406729256997494
1.0,0.4,1.9,1,0.1681285399060032
2.9,0.1,1.1,1,0.2239478707090481
0.4,2.7,1.6,2,0.16975655781553556
2.9,2.7,1.0,2,2.6433806431055276
2.1,1.2,2.3,2,0.42696870441715906
0.8,0.3,0.1,2,0.86677116583916
2.3,0.9,2.2,2,0.2517153221870148
2.7,2.7,2.8,2,0.8582219163272066
2.0,1.7,3.0,2,0.3257903660269593
0.7,0.7,1.7,2,0.10109120574044013
1.0,0.6,0.8,2,0.2749965652347313
0.6,0.3,0.7,2,0.20533243866382297
2.7,1.4,1.2,2,1.0244587641103466
2.7,2.6,0.4,2,5.922928389971202
1.1,1.2,3.0,2,0.18391664026381344
1.4,2.0,2.6,2,0.46248395967193956
1.5,0.1,1.1,2,-0.015870551250288738
1.2,0.7,1.2,2,0.35211086470414027
1.9,0.4,3.0,2,0.026763938280499368
1.4,1.8,2.5,2,0.5908263477823159
1.2,1.7,1.9,2,0.3880599088672315
1.6,2.7,2.8,2,0.5409912423444507
0.8,1.2,2.3,2,0.1536699430278835
3.0,1.4,0.7,2,2.074933173932207
1.5,2.5,1.9,2,0.7978381425944815
3.0,0.2,1.5,2,0.1111210521289376
1.1,0.4,1.9,2,-0.04559604589315008
0.7,1.0,2.1,2,0.16310372210747415
2.3,1.5,0.5,2,2.2396719584448714
2.8,1.2,0.9,2,1.2409954249319943
0.7,2.7,1.6,2,0.38480068244348753
1.9,1.5,2.0,2,0.5650848296547186
1.1,1.1,0.2,2,1.9846533460312867
2.2,1.9,1.8,2,0.7832982072474051
0.9,1.9,1.1,2,0.6780292490085853
2.9,2.1,2.8,2,0.7192214651142937
0.5,0.9,2.3,2,0.0378778164897445
1.7,2.0,2.1,2,0.663947221110371
1.7,3.0,2.2,2,0.6942572608362333
1.1,0.7,1.0,2,0.25968774901484293
2.9,2.9,2.4,2,1.244694169831934
2.1,0.1,1.3,2,0.08871082029667535
1.5,2.3,1.8,2,0.6428621332391833
1.0,2.8,0.7,2,1.3437699332925932
1.1,0.8,1.0,2,0.2989119706014657
2.4,2.3,1.0,2,1.8377183536119681
1.5,2.5,2.5,2,0.6291412207235421
2.7,1.6,2.8,2,0.4066603369732133
1.9,3.0,1.3,2,1.4834720369193093
1.1,1.9,1.8,2,0.3681871701118858
1.3,0.6,0.3,2,0.7964857243690592
2.6,2.4,0.6,2,3.5847325011385185
2.2,2.9,2.6,2,0.7219448898171403
2.3,1.0,1.0,2,0.7339980859994202
2.2,0.3,1.6,2,0.04367414230976266
2.6,2.3,0.2,2,10.26015616197454
2.5,1.8,1.7,2,0.8645886234069228
