,0
0,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.8774234]))"
1,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.86477819]))"
2,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.65664427]))"
3,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.41555826]))"
4,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.98511544]))"
5,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.06365265]))"
6,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.86770448]))"
7,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.46576567]))"
8,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.2613284]))"
9,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.32192834]))"
10,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.94030134]))"
11,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.26489632]))"
12,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.08483827]))"
13,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.94360501]))"
14,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.94312717]))"
15,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.89899397]))"
16,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.98242584]))"
17,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.71990625]))"
18,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.23409336]))"
19,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.72337696]))"
20,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.8774234]))"
21,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.86477819]))"
22,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.65664427]))"
23,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.41555826]))"
24,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.98511544]))"
25,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.06365265]))"
26,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.86770448]))"
27,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.46576567]))"
28,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.2613284]))"
29,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.32192834]))"
30,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.94030134]))"
31,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.26489632]))"
32,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.08483827]))"
33,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.94360501]))"
34,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.94312717]))"
35,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.89899397]))"
36,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.98242584]))"
37,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[2.71990625]))"
38,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.23409336]))"
39,"Pow(Sub(X[:,0],X[:,1]),Sub(X[:,2],[1.72337696]))"
40,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.8774234]))"
41,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.86477819]))"
42,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.65664427]))"
43,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.41555826]))"
44,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.98511544]))"
45,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.06365265]))"
46,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.86770448]))"
47,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.46576567]))"
48,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.2613284]))"
49,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.32192834]))"
50,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.94030134]))"
51,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.26489632]))"
52,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.08483827]))"
53,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.94360501]))"
54,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.94312717]))"
55,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.89899397]))"
56,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.98242584]))"
57,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[2.71990625]))"
58,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.23409336]))"
59,"Mul(Add(X[:,0],X[:,1]),Sub(X[:,2],[1.72337696]))"
60,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.8774234]))"
61,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.86477819]))"
62,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.65664427]))"
63,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.41555826]))"
64,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.98511544]))"
65,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.06365265]))"
66,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.86770448]))"
67,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.46576567]))"
68,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.2613284]))"
69,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.32192834]))"
70,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.94030134]))"
71,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.26489632]))"
72,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.08483827]))"
73,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.94360501]))"
74,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.94312717]))"
75,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.89899397]))"
76,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.98242584]))"
77,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[2.71990625]))"
78,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.23409336]))"
79,"Div(Mul(X[:,0],X[:,1]),Mul(X[:,2],[1.72337696]))"
80,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[2.8774234]))"
81,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.86477819]))"
82,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.65664427]))"
83,"Mul(Pow(X[:,0],X[:,1]),Sub(X[:,2],[1.41555826]))"
